,00000,00001,00010,00011,00012,00021,00100,00101,00102,00110,00111,00112,00120,00121,00122,00123,00132,00201,00210,00211,00212,00213,00221,00231,00312,00321,01000,01001,01002,01010,01011,01012,01020,01021,01022,01023,01032,01100,01101,01102,01110,01111,01112,01120,01121,01122,01123,01132,01200,01201,01202,01203,01210,01211,01212,01213,01220,01221,01222,01223,01230,01231,01232,01233,01234,01243,01302,01312,01320,01321,01322,01323,01324,01332,01342,01423,01432,02001,02010,02011,02012,02013,02021,02031,02100,02101,02102,02103,02110,02111,02112,02113,02120,02121,02122,02123,02130,02131,02132,02133,02134,02143,02201,02210,02211,02212,02213,02221,02231,02301,02310,02311,02312,02313,02314,02321,02331,02341,02413,02431,03012,03021,03102,03112,03120,03121,03122,03123,03124,03132,03142,03201,03210,03211,03212,03213,03214,03221,03231,03241,03312,03321,03412,03421,04123,04132,04213,04231,04312,04321,10000,10001,10002,10010,10011,10012,10020,10021,10022,10023,10032,10100,10101,10102,10110,10111,10112,10120,10121,10122,10123,10132,10200,10201,10202,10203,10210,10211,10212,10213,10220,10221,10222,10223,10230,10231,10232,10233,10234,10243,10302,10312,10320,10321,10322,10323,10324,10332,10342,10423,10432,11000,11001,11002,11010,11011,11012,11020,11021,11022,11023,11032,11100,11101,11102,11110,11120,11200,11201,11202,11203,11210,11220,11230,11302,11320,12000,12001,12002,12003,12010,12011,12012,12013,12020,12021,12022,12023,12030,12031,12032,12033,12034,12043,12100,12101,12102,12103,12110,12120,12130,12200,12201,12202,12203,12210,12220,12230,12300,12301,12302,12303,12304,12310,12320,12330,12340,12403,12430,13002,13012,13020,13021,13022,13023,13024,13032,13042,13102,13120,13200,13201,13202,13203,13204,13210,13220,13230,13240,13302,13320,13402,13420,14023,14032,14203,14230,14302,14320,20001,20010,20011,20012,20013,20021,20031,20100,20101,20102,20103,20110,20111,20112,20113,20120,20121,20122,20123,20130,20131,20132,20133,20134,20143,20201,20210,20211,20212,20213,20221,20231,20301,20310,20311,20312,20313,20314,20321,20331,20341,20413,20431,21000,21001,21002,21003,21010,21011,21012,21013,21020,21021,21022,21023,21030,21031,21032,21033,21034,21043,21100,21101,21102,21103,21110,21120,21130,21200,21201,21202,21203,21210,21220,21230,21300,21301,21302,21303,21304,21310,21320,21330,21340,21403,21430,22001,22010,22011,22012,22013,22021,22031,22100,22101,22102,22103,22110,22120,22130,22201,22210,22301,22310,23001,23010,23011,23012,23013,23014,23021,23031,23041,23100,23101,23102,23103,23104,23110,23120,23130,23140,23201,23210,23301,23310,23401,23410,24013,24031,24103,24130,24301,24310,30012,30021,30102,30112,30120,30121,30122,30123,30124,30132,30142,30201,30210,30211,30212,30213,30214,30221,30231,30241,30312,30321,30412,30421,31002,31012,31020,31021,31022,31023,31024,31032,31042,31102,31120,31200,31201,31202,31203,31204,31210,31220,31230,31240,31302,31320,31402,31420,32001,32010,32011,32012,32013,32014,32021,32031,32041,32100,32101,32102,32103,32104,32110,32120,32130,32140,32201,32210,32301,32310,32401,32410,33012,33021,33102,33120,33201,33210,34012,34021,34102,34120,34201,34210,40123,40132,40213,40231,40312,40321,41023,41032,41203,41230,41302,41320,42013,42031,42103,42130,42301,42310,43012,43021,43102,43120,43201,43210
20001,2,3,3,5,4,4,3,5,4,5,5,6,4,6,6,5,5,4,4,6,6,5,6,5,5,5,3,5,4,5,5,6,4,6,6,5,5,5,5,6,5,3,4,6,4,6,5,5,4,6,6,5,6,4,6,5,6,6,4,5,5,5,5,5,6,6,5,5,5,5,5,5,6,5,6,6,6,4,4,6,6,5,6,5,4,6,6,5,6,4,6,5,6,6,4,5,5,5,5,5,6,6,6,6,6,4,5,4,5,5,5,5,5,5,6,5,5,6,6,6,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,6,5,5,6,5,5,6,6,6,6,6,6,6,6,1,1,2,3,3,4,4,4,4,5,5,3,3,4,5,3,4,6,4,6,5,5,4,4,4,5,6,4,6,5,6,6,4,5,5,5,5,5,6,6,5,5,5,5,5,5,6,5,6,6,6,3,3,4,5,3,4,6,4,6,5,5,5,3,4,3,4,6,4,6,5,4,6,5,5,5,4,4,4,5,6,4,6,5,6,6,4,5,5,5,5,5,6,6,6,4,6,5,4,6,5,6,6,4,5,6,4,5,5,5,5,5,6,5,5,5,6,6,6,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,6,5,5,5,6,5,5,6,6,6,6,6,6,6,6,0,2,2,2,3,4,5,2,2,2,3,4,2,2,3,4,4,4,5,5,5,5,5,6,6,4,4,4,4,5,4,5,5,5,5,5,5,6,5,5,6,6,6,2,2,2,3,4,2,2,3,4,4,4,5,5,5,5,5,6,6,4,2,2,3,2,4,5,4,4,4,5,4,4,5,5,5,5,5,6,5,5,5,6,6,6,4,4,4,4,5,4,5,4,4,4,5,4,4,5,4,4,5,5,5,5,5,5,5,6,5,5,6,5,5,5,5,6,5,5,5,6,5,5,5,5,6,6,6,6,6,6,6,6,1,3,1,1,3,3,3,3,4,5,6,3,3,3,3,3,4,3,5,6,5,5,6,6,1,1,3,3,3,3,4,5,6,1,3,3,3,3,3,4,3,3,5,6,5,5,6,6,3,3,3,3,3,4,3,5,6,3,3,3,3,4,3,3,5,6,3,3,5,5,6,6,5,5,5,5,5,5,6,6,6,6,6,6,2,4,2,4,4,4,2,4,2,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4
20010,2,3,3,5,4,4,3,5,4,5,5,6,4,6,6,5,5,4,4,6,6,5,6,5,5,5,3,5,4,5,5,6,4,6,6,5,5,5,5,6,5,3,4,6,4,6,5,5,4,6,6,5,6,4,6,5,6,6,4,5,5,5,5,5,6,6,5,5,5,5,5,5,6,5,6,6,6,4,4,6,6,5,6,5,4,6,6,5,6,4,6,5,6,6,4,5,5,5,5,5,6,6,6,6,6,4,5,4,5,5,5,5,5,5,6,5,5,6,6,6,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,6,5,5,6,5,5,6,6,6,6,6,6,6,6,1,3,4,1,3,4,2,4,4,5,5,3,5,6,3,3,4,4,4,6,5,5,4,6,6,5,4,4,6,5,4,6,4,5,5,5,5,5,6,6,5,5,5,5,5,5,6,5,6,6,6,3,5,6,3,3,4,4,4,6,5,5,5,3,4,3,4,6,4,6,5,4,6,5,5,5,4,6,6,5,4,4,6,5,4,6,4,5,5,5,5,5,6,6,6,4,6,5,4,6,5,6,6,4,5,6,4,5,5,5,5,5,6,5,5,5,6,6,6,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,6,5,5,5,6,5,5,6,6,6,6,6,6,6,6,2,0,2,4,5,2,3,2,4,4,5,2,2,4,5,2,2,4,5,3,3,5,5,6,6,4,4,4,4,5,4,5,5,5,5,5,5,6,5,5,6,6,6,2,4,4,5,2,2,4,5,2,2,4,5,3,3,5,5,6,6,4,2,4,5,2,2,3,4,4,4,5,4,4,5,5,5,5,5,6,5,5,5,6,6,6,4,4,4,4,5,4,5,4,4,4,5,4,4,5,4,4,5,5,5,5,5,5,5,6,5,5,6,5,5,5,5,6,5,5,5,6,5,5,5,5,6,6,6,6,6,6,6,6,3,1,3,3,1,1,3,5,6,3,4,3,3,3,3,5,6,3,3,4,5,5,6,6,3,3,1,1,3,5,6,3,4,3,1,3,3,3,5,6,3,3,3,4,5,5,6,6,3,3,3,3,5,6,3,3,4,3,3,3,5,6,3,3,3,4,3,3,5,5,6,6,5,5,5,5,5,5,6,6,6,6,6,6,4,2,4,2,4,4,4,2,4,2,4,4,4,2,4,2,4,4,4,4,4,4,4,4
20011,4,5,5,3,4,4,5,7,6,7,5,6,6,6,4,5,5,6,6,6,6,7,6,7,7,7,5,7,6,7,5,6,6,6,4,5,5,7,7,8,7,5,6,8,6,4,5,5,6,8,8,7,8,6,8,7,8,8,6,7,7,7,7,5,6,6,7,7,7,7,7,7,8,7,8,8,8,6,6,6,6,7,6,7,6,8,8,7,8,6,8,7,8,8,6,7,7,7,7,5,6,6,8,8,8,6,7,6,7,7,7,7,7,7,8,7,7,8,8,8,7,7,7,7,7,7,7,7,8,7,8,7,7,7,7,7,8,7,7,8,7,7,8,8,8,8,8,8,8,8,3,3,4,3,1,2,4,2,2,3,3,5,5,6,5,3,4,6,4,4,5,5,6,6,6,7,6,4,6,5,6,6,4,5,7,5,5,5,6,6,7,5,7,5,5,5,6,5,6,6,6,5,5,6,5,3,4,6,4,4,5,5,7,5,6,5,6,8,6,8,7,6,8,7,7,7,6,6,6,7,6,4,6,5,6,6,4,5,7,5,5,5,6,6,8,6,8,7,6,8,7,8,8,6,7,8,6,7,7,7,7,7,8,7,7,7,8,8,8,7,5,7,5,5,5,6,5,6,7,7,7,7,7,7,8,7,7,7,8,7,7,8,8,6,6,8,8,8,8,2,2,0,2,3,2,3,4,4,4,5,4,2,4,5,4,4,2,3,5,5,3,3,4,4,6,6,4,4,5,4,5,7,7,5,5,5,6,5,5,6,6,6,4,4,4,5,4,2,4,5,4,4,2,3,5,5,3,3,4,4,6,4,4,5,4,4,5,6,6,6,7,6,6,7,7,7,7,7,8,7,7,7,8,8,8,6,6,4,4,5,4,5,6,6,6,7,6,6,7,6,6,7,7,7,7,5,5,5,6,5,5,6,7,7,7,7,8,7,7,7,8,7,7,7,7,8,8,6,6,8,8,8,8,1,1,3,3,3,3,1,3,4,3,4,5,5,3,3,5,6,3,5,6,5,5,6,6,3,3,3,3,1,3,4,3,4,3,3,5,5,5,5,6,5,5,5,6,7,7,8,8,5,5,3,3,5,6,3,5,6,5,5,5,5,6,5,5,5,6,5,5,7,7,8,8,5,5,7,7,7,7,6,6,8,8,8,8,2,2,4,4,4,4,2,2,4,4,6,6,4,4,4,4,6,6,4,4,6,6,6,6
20012,4,3,5,3,4,4,5,5,4,7,5,6,6,6,4,5,5,6,6,6,6,5,6,7,7,7,5,5,4,7,5,6,6,6,4,5,5,7,7,6,7,5,4,8,6,4,5,5,6,8,6,5,8,6,6,5,8,8,6,5,7,7,7,5,6,6,7,7,7,7,7,7,6,7,8,8,8,6,6,6,6,5,6,7,6,8,6,5,8,6,6,5,8,8,6,5,7,7,7,5,6,6,8,8,8,6,5,6,7,7,7,7,7,7,6,7,7,8,8,8,7,7,7,7,7,7,7,7,6,7,8,7,7,7,7,7,6,7,7,8,7,7,8,8,8,8,8,8,8,8,3,1,2,3,1,2,4,2,2,3,3,5,3,4,5,3,4,6,4,4,5,5,6,4,4,5,6,4,6,5,6,6,4,5,7,5,5,5,6,6,5,5,7,5,5,5,6,5,6,6,6,5,3,4,5,3,4,6,4,4,5,5,7,5,4,5,6,8,6,6,5,6,8,7,7,7,6,4,4,5,6,4,6,5,6,6,4,5,7,5,5,5,6,6,8,6,6,5,6,8,7,8,8,6,5,8,6,7,7,7,7,7,6,7,7,7,8,8,8,5,5,7,5,5,5,6,5,6,7,7,7,7,7,7,6,7,7,7,8,7,7,8,8,6,6,8,8,8,8,2,4,2,0,1,2,3,4,4,2,3,6,4,2,3,4,4,2,3,5,5,3,3,4,4,4,6,6,4,5,4,5,5,7,5,5,5,6,5,5,6,6,6,4,4,2,3,6,4,2,3,4,4,2,3,5,5,3,3,4,4,6,4,2,3,4,4,5,6,6,4,5,6,6,7,7,7,5,5,6,7,7,7,8,6,8,4,6,6,4,5,4,5,6,6,4,5,6,6,7,6,6,7,7,5,7,5,5,5,6,5,5,6,7,7,5,5,6,7,7,7,8,7,7,7,7,8,8,6,6,6,8,8,8,1,3,3,3,5,5,3,1,2,3,4,5,5,5,5,3,4,5,5,6,5,5,6,6,3,3,5,5,3,1,2,3,4,3,5,5,5,5,3,4,5,5,5,6,5,7,6,8,5,5,5,5,3,4,5,5,6,5,5,5,3,4,5,5,5,6,5,5,7,7,8,8,5,5,5,7,7,7,6,6,6,8,8,8,2,4,4,6,6,6,2,4,4,6,6,6,4,6,4,6,6,6,6,6,6,6,6,6
20013,3,2,4,4,3,5,4,4,3,6,6,5,5,7,5,4,6,5,5,7,5,4,7,6,6,6,4,4,3,6,6,5,5,7,5,4,6,6,6,5,6,4,3,7,5,5,4,6,5,7,5,4,7,5,5,4,7,7,5,4,6,6,6,6,5,7,6,6,6,6,6,6,5,6,7,7,7,5,5,7,5,4,7,6,5,7,5,4,7,5,5,4,7,7,5,4,6,6,6,6,5,7,7,7,7,5,4,5,6,6,6,6,6,6,5,6,6,7,7,7,6,6,6,6,6,6,6,6,5,6,7,6,6,6,6,6,5,6,6,7,6,6,7,7,7,7,7,7,7,7,4,2,1,4,2,1,5,3,3,2,4,6,4,3,6,4,3,7,5,5,4,6,5,5,5,4,7,5,5,4,7,7,5,4,6,6,6,6,5,7,6,6,6,6,6,6,5,6,7,7,7,6,4,3,6,4,3,7,5,5,4,6,6,4,3,4,5,7,5,5,4,5,7,6,6,6,5,5,5,4,7,5,5,4,7,7,5,4,6,6,6,6,5,7,7,5,5,4,5,7,6,7,7,5,4,7,5,6,6,6,6,6,5,6,6,6,7,7,7,6,6,6,6,6,6,5,6,7,6,6,6,6,6,6,5,6,6,6,7,6,6,7,7,7,7,7,7,7,7,3,5,3,1,0,3,4,5,5,3,2,7,5,3,2,5,5,3,2,6,6,4,4,3,5,5,7,7,5,4,5,6,6,6,6,6,6,5,6,6,7,7,7,5,5,3,2,7,5,3,2,5,5,3,2,6,6,4,4,3,5,7,5,3,2,5,5,6,7,7,5,4,7,5,6,6,6,6,6,5,6,6,6,7,7,7,5,7,7,5,4,5,6,7,7,5,4,7,5,6,5,5,6,6,6,6,6,6,6,5,6,6,7,6,6,6,6,5,6,6,6,7,6,6,6,6,7,7,7,7,7,7,7,7,2,4,4,4,6,6,4,2,1,4,5,6,6,6,6,4,3,6,6,7,6,6,7,7,4,4,6,6,4,2,1,4,5,4,6,6,6,6,4,3,6,6,6,7,6,6,7,7,6,6,6,6,4,3,6,6,7,6,6,6,4,3,6,6,6,7,6,6,6,6,7,7,6,6,6,6,6,6,7,7,7,7,7,7,3,5,5,7,7,7,3,5,5,7,7,7,5,7,5,7,7,7,7,7,7,7,7,7
20021,4,5,3,3,4,4,5,7,6,5,5,6,4,6,4,5,5,6,6,6,6,7,6,5,7,7,5,7,6,5,5,6,4,6,4,5,5,7,7,8,7,5,6,6,4,4,5,5,6,8,8,7,8,6,8,7,6,6,6,7,5,5,5,5,6,6,7,7,7,7,7,7,8,7,6,8,8,6,6,6,6,7,6,5,6,8,8,7,8,6,8,7,6,6,6,7,5,5,5,5,6,6,8,8,8,6,7,6,5,7,7,7,7,7,8,7,7,6,8,8,7,7,7,7,7,7,7,7,8,7,6,7,7,7,7,7,8,7,7,6,7,7,8,8,8,8,8,8,8,8,3,3,4,1,1,2,2,2,2,3,3,5,5,6,3,3,4,4,4,4,5,5,6,6,6,7,4,4,6,5,4,6,4,5,5,5,5,5,6,6,7,5,5,5,5,5,6,5,6,6,6,5,5,6,3,3,4,4,4,4,5,5,7,5,6,5,4,8,6,8,7,6,6,5,7,7,6,6,6,7,4,4,6,5,4,6,4,5,5,5,5,5,6,6,8,6,8,7,6,6,5,8,8,6,7,8,6,5,7,7,7,7,8,7,7,7,6,8,8,7,5,5,5,5,5,6,5,6,7,7,7,7,7,7,8,7,7,7,6,7,7,8,8,6,6,8,8,8,8,4,2,2,2,3,0,1,4,6,4,5,4,4,4,5,2,2,2,3,3,3,3,3,4,4,6,4,6,4,5,4,5,7,5,5,5,5,6,5,5,6,6,6,4,6,4,5,4,4,4,5,2,2,2,3,3,3,3,3,4,4,6,4,4,5,4,2,3,6,6,6,7,6,4,5,7,7,7,7,8,7,5,5,6,8,6,6,4,6,4,5,4,5,6,6,6,7,6,4,5,6,6,7,7,7,5,5,5,5,6,5,5,6,7,7,7,7,8,7,5,5,6,7,7,7,7,8,8,6,6,8,6,8,8,3,1,5,5,3,3,3,3,4,1,2,5,5,5,5,5,6,5,3,4,5,5,6,6,5,5,3,3,3,3,4,1,2,5,3,5,5,5,5,6,5,5,3,4,7,5,8,6,5,5,5,5,5,6,5,3,4,5,5,5,5,6,5,5,3,4,5,5,7,7,8,8,5,5,7,5,7,7,6,6,8,6,8,8,4,2,6,4,6,6,4,2,6,4,6,6,6,4,6,4,6,6,6,6,6,6,6,6
20031,3,4,2,4,5,3,4,6,5,4,6,7,3,5,5,6,4,5,5,7,7,6,5,4,6,6,4,6,5,4,6,7,3,5,5,6,4,6,6,7,6,4,5,5,3,5,6,4,5,7,7,6,7,5,7,6,5,5,5,6,4,4,4,6,7,5,6,6,6,6,6,6,7,6,5,7,7,5,5,7,7,6,5,4,5,7,7,6,7,5,7,6,5,5,5,6,4,4,4,6,7,5,7,7,7,5,6,5,4,6,6,6,6,6,7,6,6,5,7,7,6,6,6,6,6,6,6,6,7,6,5,6,6,6,6,6,7,6,6,5,6,6,7,7,7,7,7,7,7,7,4,4,5,2,2,3,1,1,3,4,2,6,6,7,4,4,5,3,3,5,6,4,5,7,7,6,5,5,7,6,5,5,5,6,4,4,4,6,7,5,6,6,6,6,6,6,7,6,5,7,7,6,6,7,4,4,5,3,3,5,6,4,6,4,5,4,3,7,5,7,6,5,5,4,6,6,5,7,7,6,5,5,7,6,5,5,5,6,4,4,4,6,7,5,7,5,7,6,5,5,4,7,7,5,6,7,5,4,6,6,6,6,7,6,6,6,5,7,7,6,6,6,6,6,6,7,6,5,6,6,6,6,6,6,7,6,6,6,5,6,6,7,7,7,7,7,7,7,7,5,3,3,3,4,1,0,5,7,5,6,5,5,5,6,3,3,3,4,2,2,2,4,5,3,7,5,7,5,6,5,4,6,6,6,6,6,7,6,6,5,7,7,5,7,5,6,5,5,5,6,3,3,3,4,2,2,2,4,5,3,7,5,5,6,5,3,2,7,7,5,6,7,5,4,6,6,6,6,7,6,6,6,5,7,7,7,5,7,5,6,5,4,7,7,5,6,7,5,4,5,5,6,6,6,6,6,6,6,7,6,6,5,6,6,6,6,7,6,6,6,5,6,6,6,6,7,7,7,7,7,7,7,7,4,2,6,6,4,4,4,4,5,2,1,6,6,6,6,6,7,6,4,3,6,6,7,7,6,6,4,4,4,4,5,2,1,6,4,6,6,6,6,7,6,6,4,3,6,6,7,7,6,6,6,6,6,7,6,4,3,6,6,6,6,7,6,6,4,3,6,6,6,6,7,7,6,6,6,6,6,6,7,7,7,7,7,7,5,3,7,5,7,7,5,3,7,5,7,7,7,5,7,5,7,7,7,7,7,7,7,7
20100,2,3,3,5,4,4,3,5,4,5,5,6,4,6,6,5,5,4,4,6,6,5,6,5,5,5,3,5,4,5,5,6,4,6,6,5,5,5,5,6,5,3,4,6,4,6,5,5,4,6,6,5,6,4,6,5,6,6,4,5,5,5,5,5,6,6,5,5,5,5,5,5,6,5,6,6,6,4,4,6,6,5,6,5,4,6,6,5,6,4,6,5,6,6,4,5,5,5,5,5,6,6,6,6,6,4,5,4,5,5,5,5,5,5,6,5,5,6,6,6,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,6,5,5,6,5,5,6,6,6,6,6,6,6,6,1,3,4,3,5,6,4,6,6,5,5,1,3,4,3,3,4,4,4,6,5,5,2,4,4,5,4,4,6,5,4,6,4,5,5,5,5,5,6,6,5,5,5,5,5,5,6,5,6,6,6,3,5,6,5,3,4,6,4,6,5,5,3,3,4,3,4,4,4,6,5,4,6,5,5,5,4,6,6,5,6,4,6,5,6,6,4,5,5,5,5,5,6,6,4,4,6,5,4,6,5,4,6,4,5,6,4,5,5,5,5,5,6,5,5,5,6,6,6,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,6,5,5,5,6,5,5,6,6,6,6,6,6,6,6,2,2,4,4,5,4,5,0,2,4,5,2,2,4,5,4,4,4,5,5,5,5,5,6,6,2,2,2,4,5,4,5,3,3,3,5,5,6,5,5,6,6,6,2,4,4,5,4,2,4,5,4,4,4,5,5,5,5,5,6,6,2,2,4,5,2,4,5,2,2,4,5,2,4,5,3,3,5,5,6,3,5,5,6,6,6,4,4,4,4,5,4,5,4,4,4,5,4,4,5,4,4,5,5,5,5,5,5,5,6,5,5,6,5,5,5,5,6,5,5,5,6,5,5,5,5,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,5,6,5,6,1,1,1,3,5,6,3,5,6,3,3,4,4,3,3,3,3,3,5,6,5,6,3,3,1,1,3,5,6,1,3,5,6,3,3,4,4,3,3,3,3,5,6,3,5,6,3,3,3,5,6,3,3,5,6,3,3,3,3,4,4,5,5,5,5,5,5,6,6,6,6,6,6,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4
20101,4,5,5,7,6,6,5,3,4,7,5,6,6,6,6,7,7,4,6,6,4,5,6,7,5,7,5,7,6,7,7,8,6,8,8,7,7,7,5,6,7,5,6,8,6,8,7,7,6,6,4,5,8,6,4,5,8,8,6,7,7,7,7,7,8,8,5,5,7,7,7,5,6,7,8,6,8,6,6,8,8,7,8,7,6,6,6,7,8,6,8,7,8,8,6,7,7,7,7,7,8,8,6,8,8,6,7,6,7,7,7,7,7,5,6,7,7,8,6,8,7,7,7,7,7,7,7,7,8,7,8,7,7,7,7,7,8,7,7,8,7,7,8,8,8,8,8,8,8,8,3,3,4,5,5,6,6,6,6,7,7,3,1,2,5,3,4,6,4,6,5,5,4,2,2,3,6,4,4,5,6,6,4,5,7,5,5,5,6,6,3,5,7,5,5,5,6,5,6,6,6,5,5,6,7,5,6,8,6,8,7,7,5,3,4,5,6,6,4,4,5,6,8,7,5,7,6,6,6,7,8,6,8,7,8,8,6,7,7,7,7,7,8,8,6,4,6,5,6,8,7,6,6,4,5,8,6,7,7,5,5,5,6,7,7,7,8,6,8,7,7,7,7,7,7,8,7,8,5,7,7,5,5,5,6,7,7,7,8,5,7,6,8,8,8,6,8,6,8,2,4,4,4,5,6,7,2,0,2,3,4,2,4,5,6,4,4,5,7,5,5,5,6,6,2,4,4,2,3,4,5,3,5,5,3,3,4,5,5,6,4,6,4,4,4,5,6,4,4,5,6,6,6,7,7,7,7,7,8,8,4,2,4,5,4,6,7,4,4,2,3,4,6,7,5,5,3,3,4,5,7,7,8,4,8,6,6,6,6,7,6,7,6,4,4,5,6,6,7,4,6,5,7,7,7,7,7,7,8,7,7,8,7,5,5,5,6,7,7,7,8,5,7,5,7,6,8,8,8,6,8,6,8,3,5,1,3,5,3,3,5,6,5,6,1,3,3,1,3,4,3,5,6,3,5,4,6,3,3,5,5,5,5,6,7,8,3,5,3,3,1,3,4,3,5,7,8,3,5,4,6,5,5,5,5,5,6,5,7,8,5,3,3,5,6,5,5,7,8,3,5,5,5,6,6,7,7,5,7,5,7,8,8,6,8,6,8,4,4,2,4,2,4,4,6,2,6,2,4,4,6,4,6,4,4,6,6,4,6,4,6
20102,4,3,5,5,4,6,5,3,4,7,5,6,6,6,6,5,7,4,6,6,4,5,6,7,5,7,5,5,4,7,7,6,6,8,6,5,7,7,5,6,7,5,4,8,6,6,5,7,6,6,4,5,8,6,4,5,8,8,6,5,7,7,7,7,6,8,5,5,7,7,7,5,6,7,8,6,8,6,6,8,6,5,8,7,6,6,6,5,8,6,6,5,8,8,6,5,7,7,7,7,6,8,6,8,8,6,5,6,7,7,7,7,7,5,6,7,7,8,6,8,7,7,7,7,7,7,7,7,6,7,8,7,7,7,7,7,6,7,7,8,7,7,8,8,8,8,8,8,8,8,3,1,2,5,3,4,6,4,4,5,5,3,1,2,5,3,4,6,4,6,5,5,4,2,2,3,6,4,4,5,6,6,4,5,7,5,5,5,6,6,3,5,7,5,5,5,6,5,6,6,6,5,3,4,7,5,4,8,6,6,5,7,5,3,4,5,6,6,4,4,5,6,8,7,5,7,6,4,4,5,8,6,6,5,8,8,6,5,7,7,7,7,6,8,6,4,6,5,6,8,7,6,6,4,5,8,6,7,7,5,5,5,6,7,7,7,8,6,8,5,7,7,7,7,7,6,7,8,5,7,7,5,5,5,6,7,7,7,8,5,7,6,8,8,8,6,8,6,8,2,4,4,2,3,4,5,4,2,0,1,6,4,2,3,6,6,4,5,7,5,5,5,6,6,2,4,4,2,3,4,5,3,5,5,3,3,4,5,5,6,4,6,4,4,2,3,6,4,2,3,6,6,4,5,7,7,5,5,6,6,6,4,2,3,4,6,7,4,4,2,3,4,6,7,5,5,3,3,4,5,7,7,8,4,8,4,6,6,4,5,6,7,6,6,4,5,6,6,7,4,6,5,7,5,7,7,5,5,6,7,7,8,7,5,5,5,6,7,7,7,8,5,7,5,7,6,8,6,8,6,8,6,8,3,5,1,3,5,5,5,3,4,5,6,3,5,5,3,1,2,5,5,6,3,5,4,6,3,3,5,5,5,3,4,5,6,3,5,5,5,3,1,2,5,5,7,8,3,5,4,6,5,5,5,5,3,4,5,7,8,5,5,5,3,4,5,5,7,8,5,5,5,5,6,6,5,7,5,7,5,7,6,8,6,8,6,8,4,6,2,6,4,6,4,6,2,6,4,6,4,6,4,6,6,6,6,6,6,6,6,6
20103,3,2,4,4,3,5,4,4,3,6,6,5,5,7,5,4,6,5,5,7,5,4,7,6,6,6,4,4,3,6,6,5,5,7,5,4,6,6,6,5,6,4,3,7,5,5,4,6,5,7,5,4,7,5,5,4,7,7,5,4,6,6,6,6,5,7,6,6,6,6,6,6,5,6,7,7,7,5,5,7,5,4,7,6,5,7,5,4,7,5,5,4,7,7,5,4,6,6,6,6,5,7,7,7,7,5,4,5,6,6,6,6,6,6,5,6,6,7,7,7,6,6,6,6,6,6,6,6,5,6,7,6,6,6,6,6,5,6,6,7,6,6,7,7,7,7,7,7,7,7,4,2,1,6,4,3,5,5,5,4,6,4,2,1,6,4,3,7,5,5,4,6,5,3,3,2,7,5,5,4,7,7,5,4,6,6,6,6,5,7,4,6,6,6,6,6,5,6,7,7,7,6,4,3,6,4,3,7,5,5,4,6,6,4,3,4,5,7,5,5,4,5,7,6,6,6,5,5,5,4,7,5,5,4,7,7,5,4,6,6,6,6,5,7,7,5,5,4,5,7,6,7,7,5,4,7,5,6,6,6,6,6,5,6,6,6,7,7,7,6,6,6,6,6,6,5,6,7,6,6,6,6,6,6,5,6,6,6,7,6,6,7,7,7,7,7,7,7,7,3,5,5,3,2,5,6,5,3,1,0,7,5,3,2,7,7,5,4,6,6,6,6,5,7,3,5,5,3,2,5,6,4,6,6,4,4,3,6,6,7,5,7,5,5,3,2,7,5,3,2,7,7,5,4,6,6,6,6,5,7,7,5,3,2,5,7,6,5,5,3,2,5,5,6,6,6,4,4,3,6,6,6,7,5,7,5,7,7,5,4,5,6,7,7,5,4,7,5,6,5,5,6,6,6,6,6,6,6,5,6,6,7,6,6,6,6,5,6,6,6,7,6,6,6,6,7,7,7,7,7,7,7,7,4,6,2,4,6,6,6,4,3,6,7,4,6,6,4,2,1,6,6,7,4,6,5,7,4,4,6,6,6,4,3,6,7,4,6,6,6,4,2,1,6,6,6,7,4,6,5,7,6,6,6,6,4,3,6,6,7,6,6,6,4,3,6,6,6,7,6,6,6,6,7,7,6,6,6,6,6,6,7,7,7,7,7,7,5,7,3,7,5,7,5,7,3,7,5,7,5,7,5,7,7,7,7,7,7,7,7,7
